FORM	PREFIX	BEFORE_SEQ	AFTER_SEQ	BEFORE_SING	AFTER_SING	INFLEC	LEFT_CONSONANTAL	LEFT_SONORANT	LEFT_LABIAL	LEFT_ROUND	LEFT_CORONAL	LEFT_ANTERIOR	LEFT_DISTRIBUTED	LEFT_DORSAL	LEFT_HIGH	LEFT_LOW	LEFT_BACK	LEFT_VOICE	LEFT_CONTINUANT	LEFT_STRIDENT	LEFT_LATERAL	LEFT_DELAYEDRELEASE	LEFT_NASAL	LEFT_APPROXIMANT	LEFT_TAP	LEFT_TRILL	LEFT_LABIODENTAL	LEFT_FRONT	RIGHT_CONSONANTAL	RIGHT_SONORANT	RIGHT_LABIAL	RIGHT_ROUND	RIGHT_CORONAL	RIGHT_ANTERIOR	RIGHT_DISTRIBUTED	RIGHT_DORSAL	RIGHT_HIGH	RIGHT_LOW	RIGHT_BACK	RIGHT_VOICE	RIGHT_CONTINUANT	RIGHT_STRIDENT	RIGHT_LATERAL	RIGHT_DELAYEDRELEASE	RIGHT_NASAL	RIGHT_APPROXIMANT	RIGHT_TAP	RIGHT_TRILL	RIGHT_LABIODENTAL	RIGHT_FRONT	PARADIGM_YER	FORM_YER
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'a', 'x']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;ESS;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'a', 'mʲ', 'i']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;INS;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɛ', 'm']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;INS;SG	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɔ', 'm']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;DAT;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɔ', 'vʲ', 'i']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;DAT;SG	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'u', 'v']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;GEN;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'u']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;GEN;SG	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɨ']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;ACC;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɨ']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;NOM;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
['a', 'l', 'a', 'b', 'a', 's', 't', 'r', 'ɨ']	['a', 'l', 'a', 'b', 'a', 's', 't']	N;VOC;PL	st	r	t	r	+	-	-	-	+	+	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	0	+	+	-	-	+	+	-	-	0	0	0	+	+	-	-	0	-	+	-	+	-	0	TRUE
